I am a resident of the address mentioned below.	ഞാൻ താഴെയുള്ള വിലാസത്തിന്റെ റസിഡന്റ് ആണ്. I am constrained to report you the criminal act of abusive comment on social media.	സോഷ്യൽ മീഡിയയിൽ അധിക്ഷേപകരമായ കമന്റ് എന്ന പ്രതികരണത്തെക്കുറിച്ച് നിങ്ങളെ അറിയിക്കാൻ എനിക്ക് തടസ്സമുണ്ട്.
The accused person named below has posted offensive comment on social media against me.	എന്നെ ഒരു സോഷ്യൽ മീഡിയയിൽ അധിക്ഷേപകരമായ അഭിപ്രായം നൽകി പോസ്റ്റുചെയ്തു.
He did it by using computer resource/ (Mobile Phone).	എന്നെ ഒരു സോഷ്യൽ മീഡിയയിൽ മോശമായി പരാമർശിക്കുന്ന ഒരു വ്യക്തിയാണ് താഴെ കൊടുത്തിരിക്കുന്നത്. കമ്പ്യൂട്ടർ റിസോഴ്സ് / മൊബൈൽ ഫോൺ ഉപയോഗിച്ചാണ് ഇത് ചെയ്തത്.
The post is grossly offensive and has menacing character.	പോസ്റ്റ് തികച്ചും നിന്ദ്യമാണ് ഒപ്പം  ഇതിന് 
ഭീഷണിയ സ്വഭാവമുണ്ട്
 The said person very well knows that such information is false.	അത്തരം വിവരങ്ങൾ തെറ്റാണെന്ന് പറഞ്ഞയാൾക്ക് നന്നായി അറിയാം.
He has posted the same for the purpose of causing annoyance, inconvenience, danger, obstruction, insult, injury, criminal intimidation, enmity, hatred and ill will.	ശല്യപ്പെടുത്തൽ, അസൗകര്യങ്ങൾ, അപകടം, തടസ്സം, അപമാനിക്കൽ, പരിക്കേൽക്കൽ, ക്രിമിനൽ ഭീഷണി, വിദ്വേഷം, വിദ്വേഷം, അസുഖം എന്നിവയെല്ലാം അദ്ദേഹം പോസ്റ്റുചെയ്തിട്ടുണ്ട്.
 He is persistently doing such acts by making use of computer resource and communication device (Mobile) for sending such message.	അത്തരം പ്രവർത്തനങ്ങൾ കമ്പ്യൂട്ടർ റിസോഴ്സ് ആന്റ് കമ്മ്യൂണിക്കേഷൻ ഡിവൈസ് (മൊബൈൽ) ഉപയോഗിച്ചുകൊണ്ടാണ് ഇദ്ദേഹം ചെയ്യുന്നത്.
The said person has circulated the said offensive and false material on the internet which is visible at the following website.	താഴെ പറയുന്ന വെബ്സൈറ്റിൽ കാണുന്ന ഇന്റർനെറ്റിൽ തെറ്റായതും തെറ്റായതുമായ മെറ്റീരിയൽ പറഞ്ഞു.
 The offensive material is not only false but frivolous, defamatory, abusive and insinuative.	കുറ്റകരമായ വസ്തുക്കൾ മാത്രമല്ല തെറ്റായ, അപകീർത്തികരമല്ലാത്ത, അപകീർത്തിപ്പെടുത്തുന്ന, അധിക്ഷേപകരെയും, ഇൻസുൻഷുവിനെയുമാണ്.
It has been done with the intention to insult and libel me and cause a scandal by slandering and slurring my character.	അപമാനിക്കുവാനും അപകീർത്തിപ്പെടുത്താനും എന്റെ കഥാപാത്രത്തെ അപകീർത്തിപ്പെടുത്താനും അപമാനിക്കാനും എന്നെ പ്രേരിപ്പിച്ചു.
This amounts to making defamatory comment on social media and several persons have already asked me about the same believing the same to be true.	ഇത് സോഷ്യൽ മീഡിയയിൽ അപകീർത്തികരമായ അഭിപ്രായം ഉണ്ടാക്കുന്നതിനു തുല്യമാണ്, അതേ കാര്യം സത്യമെന്ന് വിശ്വസിക്കുന്ന പലരും എന്നോടുതന്നെ ഇതിനകം തന്നെ എന്നോടു ചോദിച്ചിട്ടുണ്ട്.
This has been done with the intention to defame and injure my character and reputation and cause injury to my character.	എന്റെ സ്വഭാവവും പ്രശസ്തിയും അപകീർത്തിപ്പെടുത്താനും എന്റെ കഥാപാത്രത്തിന് ദോഷം വരുത്താനും ഉള്ള ഉദ്ദേശ്യത്തോടെയാണ് ഇത് ചെയ്തത്.
The aforesaid person is liable for prosecution for offensive comment on social media and other offenses.	സോഷ്യൽ മീഡിയയിലും മറ്റ് കുറ്റകൃത്യങ്ങളിലും അധിക്ഷേപകരമായ അഭിപ്രായം രേഖപ്പെടുത്താൻ മുൻകൂർ ജാമ്യം പ്രോസിക്യൂഷന് ബാധ്യതയുണ്ട്.
I request you to take legal action against the said person at the earliest.	ആ വ്യക്തിക്കെതിരെ ഉടനീളം നിയമനടപടി എടുക്കാൻ ഞാൻ നിങ്ങളെ അഭ്യർഥിക്കുന്നു.
A snapshot along with the printout of the said offensive message and material is being enclosed herewith for your perusal and action.	കുറ്റകരമായ ഈ സന്ദേശത്തിൻറെയും വസ്തുക്കളുടെയും പ്രിന്റൗട്ട് സഹിതം ഒരു സ്നാപ്പ്ഷോട്ട് നിങ്ങളുടെ അനാവശ്യവും പ്രവർത്തനത്തിനുമായി ഇത് ചേർക്കുന്നു.
The name and address of the accused person is as under.	കുറ്റാരോപിതന്റെ പേരും മേൽവിലാസവും:
