Help me.	എന്നെ സഹായിക്കൂ.
I forgot.	ഞാന്‍ മറന്നു.
I am sure.	എനിക്ക് ഉറപ്പാണ്.
I'm awake.	ഞാൻ ഉണർന്നിരിക്കുകയാണ്.
Slow down.	പതുക്കെ ചെയ്യൂ.
I hate Tom.	ഞാന്‍ ടോമിനെ വെറുക്കുന്നു.
I like you.	എനിക്ക് നിന്നെ ഇഷ്ടമാണ്.
It's yours.	ഇത് നിങ്ങളുടെതാണ്.
Let's pray.	നമുക്ക് പ്രാര്‍ത്ഥിക്കാം.
That's fun.	അത് വിനോദമാണ്‌ .
That's her.	അത് അവളാണ് .
That's him.	അത് അവനാണ് .
That's his.	അത് അവന്റേതാണ് .
He can swim.	അവന് നീന്താൻ കഴിയും.
I also went.	ഞാനും പോയി.
That's hers.	അത് അവളുടെതാണ് .
That's wise.	അത് വിവേകപരം ആണ് .
Tom giggled.	ടോം ചിരിച്ചു.
Walk slowly.	പതുക്കെ നടക്കുക.
Come with us.	ഞങ്ങളുടെ കൂടെ വരൂ.
Give me half.	പകുതി എനിക്ക് തരൂ.
I understand.	ഞാൻ മനസ്സിലാക്കുന്നു.
I want money.	എനിക്ക് കാശ് വേണം.
That's Tom's.	അത് ടോമിന്റെതാണ് .
This is ours.	ഇത് ഞങ്ങളുടെതാണ്.
Tom screamed.	ടോം നിലവിളിച്ചു.
Trust no one.	ആരെയും വിശ്വസിക്കരുത്.
Don't give up!	വിട്ടു കൊടുക്കരുത്
He's ruthless.	അവന്‍ ദയയില്ലാത്തവന്‍ ആണ്.
I am American.	ഞാൻ ഒരു അമേരിക്കൻ ആണ്.
I believe you.	ഞാൻ നിന്നെ വിശ്വസിക്കുന്നു.
I hate coffee.	എനിക്ക് കാപ്പി ഇഷ്ടമല്ല.
I lost my key.	എനിക്ക് എന്റെ താക്കോൽ നഷ്ടപ്പെട്ടു.
I'll kill you.	ഞാൻ നിന്നെ കൊല്ലും.
Shut the door.	ആ വാതിൽ അടയ്ക്കൂ.
That's lovely.	അത് മനോഹരമാണ് .
That's untrue.	അത് അസത്യമാണ് .
You've failed.	നിങ്ങള്‍ പരാജയപ്പെട്ടു.
Don't touch it.	അത് തൊടരുത്
He sells fruit.	അവന്‍ ഫലങ്ങള്‍ വില്‍ക്കുന്നു.
He talks a lot.	അവന്‍ ധാരാളം സംസാരിക്കാറുണ്ട്.
I want to live.	എനിക്ക് ജീവിക്കണം.
I'll come back.	ഞാൻ തിരിച്ചുവരും.
Leave it to me.	അതെനിക്ക് വിട്ടു തരിക.
Listen closely.	ശ്രദ്ധാപൂര്‍വ്വം കേള്‍ക്കു.
She cooks well.	അവള്‍ നന്നായി പാചകം ചെയ്യും.
That's alright.	അത് ശരിതന്നെ.
That's evident.	അത് സ്പഷ്ടമാണ് .
That's foolish.	അത് മണ്ടത്തരമാണ് .
That's logical.	അത് യുക്തിസഹമാണ്.
Tom understood.	ടോം മനസിലാക്കി.
Who broke this?	ആരാണിത് പൊട്ടിച്ചത്?
Did he go there?	അവൻ അവിടെ പോയോ?
Do you remember?	നിനക്ക് ഓർമ്മയുണ്ടോ.
Her father died.	അവളുടെ അച്ഛൻ മരിച്ചു.
I am from Egypt.	ഞാൻ ഈജിപ്തിൽ നിന്നാണ്.
I bit my tongue.	ഞാന്‍ എന്റെ നാവ് കടിച്ചു.
I just got back.	ഞാൻ ഇപ്പോൾ തിരിച്ച് എത്തിയതേയുള്ളൂ.
I need a hammer.	എനിക്കൊരു ചുറ്റിക വേണം.
I teach English.	ഞാൻ ഇംഗ്ലീഷ് പഠിപ്പിക്കുന്നു.
Isn't that mine?	അത് എന്റേതല്ലേ?
Merry Christmas!	ക്രിസ്തുമസ് ആശംസകള്‍.
She scolded him.	അവൾ അവനെ ശാസിച്ചു.
That's doubtful.	അത് സംശയകരമാണ് .
The sea is blue.	കടല്‍ നീലയാണ്.
They'll kill me.	അവർ എന്നെ കൊല്ലും.
This is our bag.	ഇത് ഞങ്ങളുടെ ബാഗ്‌ ആണ്.
Today is Monday.	ഇന്ന് തിങ്കളാഴ്ചയാണ്.
Where is my car?	എന്റെ കാര്‍ എവിടെയാണ്?
Who betrayed us?	ആരാണ് നമ്മളെ ചതിച്ചത്?
Who's that girl?	ആരാണ് ആ പെൺകുട്ടി?
Accidents happen.	അപകടങ്ങൾ സംഭവിക്കുന്നു.
At last, he came.	അവസാനം, അവൻ വന്നു.
Do you like snow?	നിനക്ക് മഞ്ഞ് ഇഷ്ടമാണോ?
Don't make noise.	ശബ്ദമുണ്ടാക്കരുത്.
He must not live.	അവൻ ജീവിക്കാൻ പാടില്ല.
Her hair is long.	അവളുടെ മുടി നീണ്ടതാണ്.
I am an engineer.	ഞാൻ ഒരു എഞ്ചിനീയർ ആണ്.
I work in a bank.	ഞാൻ ഒരു ബാങ്കിൽ ജോലി ചെയ്യുന്നു.
I'm already done.	ഞാന്‍ ചെയ്തു കഴിഞ്ഞിരിക്കുന്നു.
I'm really tired.	ഞാന്‍ ശരിക്കും തളര്‍ന്നു.
Is this your pen?	ഇതു നിന്റെ പേനയാണോ?
My throat is dry.	എന്റെ തൊണ്ട വരണ്ടിക്കുകയാണ്.
People love dogs.	ആൾക്കാർക്ക് നായകളെ ഇഷ്ടമാണ്.
Please wait here.	ദയവായി ഇവിടെ കാത്തിരിക്കൂ.
Quit complaining.	കുറ്റം പറയുന്നത് നിര്‍ത്തു.
That car is mine.	ആ കാർ എന്റേതാണ്.
That's ludicrous.	അത് പരിഹാസ്യമാണ് .
The sky was dark.	ആകാശം ഇരുണ്ടിരുന്നു.
This dog is mine.	ഇതെന്റെ നായയാണ്.
We heard her cry.	ഞങ്ങള്‍ അവള്‍ കരയുന്നത് കേട്ടു.
What is the time?	സമയം എത്രയായി?
What should I do?	ഞാൻ എന്താണ് ചെയ്യേണ്ടത്?
You may sit here.	നിനക്ക് ഇവിടെ ഇരിക്കാം.
Give me five days.	എനിക്ക് അഞ്ച് ദിവസത്തെ സമയം തരൂ.
Have they seen us?	അവർ നമ്മളെ കണ്ടിട്ടുണ്ടാവുമോ?
He must have left.	അവൻ പോയി കാണും.
He told the truth.	അവൻ സത്യം പറഞ്ഞു.
I can't read this.	എനിക്ക് ഇത് വായിക്കാൻ കഴിയുന്നില്ല.
I played football.	ഞാന്‍ കാല്‍പ്പന്ത് കളിച്ചു.
I will do my best.	എന്നാല്‍ ചെയ്യാന്‍ കഴിയുന്നതൊക്കെ ഞാന്‍ ചെയ്യും.
I'm a new student.	ഞാന്‍ ഒരു പുതിയ വിദ്യാര്‍ഥി ആണ്.
I'm not a student.	ഞാനൊരു വിദ്യാര്‍ത്ഥിയല്ല.
Is that a red pen?	അതൊരു ചുവന്ന പേനയാണോ?
It's a dictionary.	അതൊരു നിഘണ്ടുവാണ്.
That's acceptable.	അത് അംഗീകരിക്കാവുന്നതാണ് .
That's impossible.	അത് അസാധ്യമാണ്.
That's sufficient.	അത് പര്യാപ്തമാണ് .
This is good meat.	ഇത് നല്ല മാംസം ആണ് .
Where is my diary?	എൻറെ ഡയറി എവിടെയാണ്.
You and I are men.	നീയും ഞാനും പുരുഷന്മാരാണ്.
You are a teacher.	നിങ്ങൾ ഒരു അധ്യാപകനാണ്.
Come along with us.	ഞങ്ങളുടെ കൂടെ വരൂ.
He asked for money.	അവൻ പണത്തിനായി ആവശ്യപ്പെട്ടു.
He asked my mother.	അവൻ എന്റെ അമ്മയോടു ചോദിച്ചു.
He closed the door.	അവൻ വാതിൽ അടച്ചു.
He doesn't like us.	അവന് ഞങ്ങളെ ഇഷ്ടമല്ല.
He heard the noise.	അവന്‍ ആ ശബ്ദം കേട്ടു.
He wants a new car.	അവനൊരു പുതിയ കാർ വേണം.
He weighs 70 kilos.	അവന് എഴുപത് കിലോ ഭാരമുണ്ട്.
I can get you more.	എനിക്ക് ഇനിയും നിങ്ങള്‍ക്ക് തരാന്‍ കഴിയും.
I can't sleep well.	എനിക്ക് നന്നായി ഉറങ്ങാന്‍ പറ്റുന്നില്ല.
I have two cameras.	എനിക്ക് രണ്ട് ക്യാമറകളുണ്ട്.
I like short poems.	എനിക്ക് ചെറിയ കവിതകൾ ഇഷ്ടമാണ്.
I like to watch TV.	എനിക്ക് ടിവി കാണാൻ ഇഷ്ടമാണ്.
I plowed the field.	ഞാന്‍ നിലം ഉഴുതു.
I'm coming at once.	ഞാൻ ഇപ്പോൾ തന്നെ വരികയാണ്.
It is dark outside.	പുറത്ത് ഇരുട്ടാണ്.
My stomach is full.	എന്റെ വയറ് നിറഞ്ഞു.
The door is locked.	വാതില്‍ പൂട്ടിയിരിക്കുന്നു.
The earth is round.	ഭൂമി ഉരുണ്ടതാണ്.
The earth is round.	ഭൂമി ഉരുണ്ടത്‌ ആണ്.
These pens are his.	ഈ പേനകൾ അവന്റേതാണ്.
This is a triangle.	ഇത് ഒരു ത്രികോണം ആണ്.
We don't have time.	നമുക്ക് സമയമില്ല.
We were very tired.	ഞങ്ങൾ വളരെയധികം ക്ഷീണിച്ചിരുന്നു.
What does Tom mean?	ടോം അര്‍ത്ഥമാക്കിയത് എന്താണ്?
Where does it hurt?	എവിടെയാണ് വേദനിക്കുന്നത്?
All I want is money.	എനിക്കാവശ്യം പണം മാത്രമാണ്.
Come again tomorrow.	നാളെ വീണ്ടും വരൂ.
He is a nice person.	അവൻ ഒരു നല്ല മനുഷ്യനാണ്.
He wrote one letter.	അവൻ ഒരു കത്തെഴുതി.
I came at about six.	ഞാന്‍ ആറു മണിയോട് അടുപ്പിച്ചു വന്നു.
I can get you fired.	എനിക്ക് നിങ്ങളെ ജോലിയില്‍ നിന്നും പുറതാക്കിപ്പിക്കാന്‍ കഴിയും.
I can give it a try.	എനിക്ക് ഇത് പ്രയോഗിച്ചു നോക്കാന്‍ കഴിയും.
I have been to Rome.	ഞാന്‍ റോമില്‍ പോയിട്ടുണ്ട്.
I want to live here.	എനിക്ക് ഇവിടെ ജീവിക്കാന്‍ ആഗ്രഹമുണ്ട്.
I'll think about it.	ഞാൻ അതിനെക്കുറിച്ച് ആലോചിക്കാം.
I'm against the war.	ഞാൻ യുദ്ധത്തിനെതിരെയാണ്.
I'm not an American.	ഞാൻ ഒരു അമേരിക്കക്കാരനല്ല.
It may rain tonight.	ഇന്ന് രാത്രി മഴ പെയ്തേക്കും.
She likes ice cream.	അവള്‍ക്ക് ഐസ് ക്രീം ഇഷ്ടമാണ്.
She stopped smoking.	അവൾ പുകവലി നിർത്തി.
They're useless now.	അവരെക്കൊണ്ട് ഇപ്പോൾ ഉപയോഗമില്ല.
This may be correct.	ഇത് ശരിയായിരിക്കാം.
Tom turned the page.	ടോം പേജ് മറിച്ചു.
We have enough time.	ഞങ്ങൾക്ക് ആവശ്യത്തിന് സമയമുണ്ട്.
We obeyed the rules.	ഞങ്ങൾ നിയമങ്ങൾ അനുസരിച്ചു.
